system time,topic,qos,message content
2024-05-19T14:43:40.362106647,$SYS/broker/store/messages/bytes,2,214
2024-05-19T14:43:40.362664908,$SYS/broker/messages/received,2,238
2024-05-19T14:43:40.399536651,$SYS/broker/messages/sent,2,258
2024-05-19T14:43:40.400873406,$SYS/broker/publish/messages/sent,2,138
2024-05-19T14:43:40.401481895,$SYS/broker/bytes/received,2,996
2024-05-19T14:43:40.402020482,$SYS/broker/bytes/sent,2,6294
2024-05-19T14:43:40.402366653,$SYS/broker/publish/bytes/sent,2,570
2024-05-19T14:43:51.330235035,$SYS/broker/uptime,2,99 seconds
2024-05-19T14:43:51.331460582,$SYS/broker/load/messages/received/1min,2,192.03
2024-05-19T14:43:51.332226018,$SYS/broker/load/messages/sent/1min,2,150.82
2024-05-19T14:43:51.333135298,$SYS/broker/load/publish/sent/1min,2,54.28
2024-05-19T14:43:51.333793082,$SYS/broker/load/bytes/received/1min,2,791.31
2024-05-19T14:43:51.334545203,$SYS/broker/load/bytes/sent/1min,2,2529.01
2024-05-19T14:43:51.335103036,$SYS/broker/load/sockets/1min,2,0.53
2024-05-19T14:43:51.335898912,$SYS/broker/load/connections/1min,2,0.53
2024-05-19T14:43:51.336373037,$SYS/broker/load/messages/received/5min,2,52.92
2024-05-19T14:43:51.336875266,$SYS/broker/load/messages/sent/5min,2,43.01
2024-05-19T14:43:51.337423510,$SYS/broker/load/publish/sent/5min,2,16.37
2024-05-19T14:43:51.337816425,$SYS/broker/load/bytes/received/5min,2,219.43
2024-05-19T14:43:51.338317113,$SYS/broker/load/bytes/sent/5min,2,756.85
2024-05-19T14:43:51.338832911,$SYS/broker/load/messages/received/15min,2,18.66
2024-05-19T14:43:51.339286744,$SYS/broker/load/messages/sent/15min,2,15.25
2024-05-19T14:43:51.339697175,$SYS/broker/load/publish/sent/15min,2,5.86
2024-05-19T14:43:51.340137023,$SYS/broker/load/bytes/received/15min,2,77.46
2024-05-19T14:43:51.340458990,$SYS/broker/load/bytes/sent/15min,2,270.40
2024-05-19T14:43:51.340752683,$SYS/broker/heap/current,2,46888
2024-05-19T14:43:51.341044250,$SYS/broker/messages/received,2,288
2024-05-19T14:43:51.379292631,$SYS/broker/messages/sent,2,308
2024-05-19T14:43:51.380376668,$SYS/broker/publish/messages/sent,2,163
2024-05-19T14:43:51.381070723,$SYS/broker/bytes/received,2,1196
2024-05-19T14:43:51.382098735,$SYS/broker/bytes/sent,2,7470
2024-05-19T14:43:51.382550113,$SYS/broker/publish/bytes/sent,2,694
2024-05-19T14:44:02.314080089,$SYS/broker/uptime,2,110 seconds
2024-05-19T14:44:02.315139578,$SYS/broker/load/messages/received/1min,2,205.55
2024-05-19T14:44:02.315791654,$SYS/broker/load/messages/sent/1min,2,153.88
2024-05-19T14:44:02.316454423,$SYS/broker/load/publish/sent/1min,2,50.67
2024-05-19T14:44:02.317013463,$SYS/broker/load/bytes/received/1min,2,841.49
2024-05-19T14:44:02.317965783,$SYS/broker/load/bytes/sent/1min,2,2395.93
2024-05-19T14:44:02.318455421,$SYS/broker/load/sockets/1min,2,0.44
2024-05-19T14:44:02.319135694,$SYS/broker/load/connections/1min,2,0.44
2024-05-19T14:44:02.319476813,$SYS/broker/load/messages/received/5min,2,60.84
2024-05-19T14:44:02.320087868,$SYS/broker/load/messages/sent/5min,2,47.55
2024-05-19T14:44:02.320680678,$SYS/broker/load/publish/sent/5min,2,16.96
2024-05-19T14:44:02.320986802,$SYS/broker/load/bytes/received/5min,2,250.81
2024-05-19T14:44:02.321308586,$SYS/broker/load/bytes/sent/5min,2,792.05
2024-05-19T14:44:02.321569218,$SYS/broker/load/messages/received/15min,2,21.75
2024-05-19T14:44:02.321818103,$SYS/broker/load/messages/sent/15min,2,17.12
2024-05-19T14:44:02.322225809,$SYS/broker/load/publish/sent/15min,2,6.18
2024-05-19T14:44:02.322489612,$SYS/broker/load/bytes/received/15min,2,89.77
2024-05-19T14:44:02.322770101,$SYS/broker/load/bytes/sent/15min,2,288.19
2024-05-19T14:44:02.323101232,$SYS/broker/store/messages/bytes,2,216
2024-05-19T14:44:02.323548227,$SYS/broker/heap/current,2,46944
2024-05-19T14:44:02.367298398,$SYS/broker/messages/received,2,338
2024-05-19T14:44:02.368532498,$SYS/broker/messages/sent,2,358
2024-05-19T14:44:02.368897934,$SYS/broker/publish/messages/sent,2,188
2024-05-19T14:44:02.369448434,$SYS/broker/bytes/received,2,1396
2024-05-19T14:44:02.369918447,$SYS/broker/bytes/sent,2,8651
2024-05-19T14:44:02.370400299,$SYS/broker/publish/bytes/sent,2,820
2024-05-19T14:44:13.293472018,$SYS/broker/uptime,2,121 seconds
2024-05-19T14:44:13.294417909,$SYS/broker/load/messages/received/1min,2,218.63
2024-05-19T14:44:13.294885353,$SYS/broker/load/messages/sent/1min,2,158.26
2024-05-19T14:44:13.295314772,$SYS/broker/load/publish/sent/1min,2,48.58
2024-05-19T14:44:13.295853959,$SYS/broker/load/bytes/received/1min,2,890.58
2024-05-19T14:44:13.297553187,$SYS/broker/load/bytes/sent/1min,2,2323.51
2024-05-19T14:44:13.298423214,$SYS/broker/load/sockets/1min,2,0.37
2024-05-19T14:44:13.298840391,$SYS/broker/load/connections/1min,2,0.37
2024-05-19T14:44:13.299861093,$SYS/broker/load/messages/received/5min,2,68.86
2024-05-19T14:44:13.300282350,$SYS/broker/load/messages/sent/5min,2,52.32
2024-05-19T14:44:13.300733042,$SYS/broker/load/publish/sent/5min,2,17.72
2024-05-19T14:44:13.301822833,$SYS/broker/load/bytes/received/5min,2,282.63
2024-05-19T14:44:13.302888767,$SYS/broker/load/bytes/sent/5min,2,834.23
2024-05-19T14:44:13.303855989,$SYS/broker/load/messages/received/15min,2,24.93
2024-05-19T14:44:13.304512867,$SYS/broker/load/messages/sent/15min,2,19.10
2024-05-19T14:44:13.305223228,$SYS/broker/load/publish/sent/15min,2,6.57
2024-05-19T14:44:13.306060109,$SYS/broker/load/bytes/received/15min,2,102.46
2024-05-19T14:44:13.306493102,$SYS/broker/load/bytes/sent/15min,2,308.54
2024-05-19T14:44:13.307268212,$SYS/broker/store/messages/bytes,2,217
2024-05-19T14:44:13.308304638,$SYS/broker/messages/received,2,390
2024-05-19T14:44:13.342655242,$SYS/broker/messages/sent,2,410
2024-05-19T14:44:13.344537673,$SYS/broker/publish/messages/sent,2,214
